Id_code,Year,deaths,injured,road_acc
1146,2022,0,14,10
1146,2023,0,13,11
1146,2024,0,13,11
1147,2021,0,1,1
1147,2022,0,1,1
1147,2023,0,1,1
1148,2021,1,7,6
1148,2022,1,15,11
1148,2023,1,8,9
1149,2021,0,0,0
1149,2022,0,3,2
1149,2023,0,3,2
1150,2021,0,1,1
1150,2022,0,3,3
1150,2023,0,3,3
1150,2024,0,2,2
1152,2021,0,0,0
1152,2022,0,0,0
1152,2023,0,3,2
1153,2021,0,0,0
1153,2022,0,0,0
1153,2023,0,2,1
1154,2021,0,1,1
1154,2022,0,4,1
1154,2023,1,0,1
1154,2024,0,1,1
1155,2021,0,0,0
1155,2022,0,0,0
1155,2023,0,0,0
1155,2024,0,2,1
1156,2021,2,199,152
1156,2022,0,180,127
1156,2023,1,139,106
1156,2024,0,250,175
1157,2021,1,0,1
1157,2022,0,5,4
1157,2023,0,1,1
1158,2021,0,1,1
1158,2022,0,0,0
1158,2023,0,3,2
1159,2021,0,1,1
1159,2022,1,5,3
1159,2023,0,4,2
1159,2024,0,3,2
1160,2021,2,10,8
1160,2022,0,1,1
1160,2023,0,2,2
1160,2024,0,5,5
1161,2021,0,6,4
1161,2022,0,3,3
1161,2023,0,9,7
1161,2024,0,8,4
1162,2021,0,5,2
1162,2022,0,5,4
1162,2023,0,8,4
1162,2024,0,7,4
1163,2021,0,0,0
1163,2022,0,5,2
1163,2023,0,0,0
1163,2024,0,1,1
1164,2021,0,168,111
1164,2022,4,175,123
1164,2023,0,147,106
1164,2024,2,190,120
1165,2021,0,1,1
1165,2022,0,0,0
1165,2023,0,0,0
1166,2021,0,13,10
1166,2022,1,15,11
1166,2023,0,13,10
1166,2024,1,8,8
1167,2021,0,1,1
1167,2022,0,0,0
1167,2023,0,0,0
1168,2021,0,11,9
1168,2022,0,10,7
1168,2023,0,9,7
1168,2024,0,7,5
1169,2021,0,0,0
1169,2022,0,0,0
1169,2023,0,0,0
1170,2021,0,1,1
1170,2022,0,2,1
1170,2023,0,1,1
1171,2021,0,112,71
1171,2022,1,95,66
1171,2023,3,73,59
1171,2024,3,95,72
1172,2021,0,1,1
1172,2022,0,1,1
1172,2023,0,0,0
1173,2021,0,0,0
1173,2022,0,3,2
1173,2023,0,0,0
1173,2024,0,3,1
1174,2021,0,0,0
1174,2022,0,1,1
1174,2023,0,0,0
1175,2021,2,15,11
1175,2022,0,6,3
1175,2023,0,6,4
1175,2024,0,6,6
1176,2021,0,1,1
1176,2022,1,0,1
1176,2023,0,3,2
1176,2024,0,3,3
1177,2021,0,1,1
1177,2022,0,1,1
1177,2023,0,0,0
1177,2024,0,1,1
1178,2021,0,0,0
1178,2022,0,3,2
1178,2023,0,3,1
1178,2024,0,4,1
1179,2021,0,0,0
1179,2022,0,0,0
1179,2023,1,1,2
1179,2024,0,3,1
1180,2021,0,0,0
1180,2022,0,0,0
1180,2023,0,0,0
1180,2024,0,1,1
1181,2021,0,5,4
1181,2022,1,10,8
1181,2023,1,14,6
1181,2024,0,5,4
1183,2021,0,7,4
1183,2022,0,7,5
1183,2023,0,4,3
1183,2024,0,6,4
1184,2021,0,4,4
1184,2022,0,3,2
1184,2023,0,3,3
1184,2024,1,1,2
1185,2021,0,4,2
1185,2022,0,2,1
1185,2023,0,1,1
1185,2024,0,2,1
1186,2021,0,2,2
1186,2022,0,0,0
1186,2023,0,0,0
1186,2024,0,1,1
1187,2021,0,2,1
1187,2022,0,0,0
1187,2023,0,0,0
1188,2021,0,3,3
1188,2022,0,1,1
1188,2023,0,2,2
1188,2024,0,3,3
1189,2021,0,57,32
1189,2022,1,28,19
1189,2023,0,44,30
1189,2024,1,58,39
1190,2021,0,5,3
1190,2022,0,5,2
1190,2023,1,1,2
1190,2024,1,4,4
1191,2021,3,105,81
1191,2022,0,75,48
1191,2023,2,103,77
1191,2024,1,116,82
1192,2021,0,19,12
1192,2022,1,5,4
1192,2023,0,11,7
1192,2024,0,10,6
1193,2021,0,1,1
1193,2022,0,2,2
1193,2023,0,3,3
1193,2024,0,4,3
1194,2021,0,17,15
1194,2022,0,40,26
1194,2023,0,32,28
1194,2024,0,38,29
1195,2021,0,6,3
1195,2022,0,9,4
1195,2023,0,17,6
1195,2024,0,5,3
1196,2021,0,2,2
1196,2022,1,3,4
1196,2023,0,4,3
1196,2024,0,1,1
1197,2021,1,31,22
1197,2022,0,25,18
1197,2023,0,33,20
1197,2024,0,28,19
1198,2021,0,0,0
1198,2022,0,0,0
1198,2023,0,0,0
1199,2021,0,6,3
1199,2022,0,1,1
1199,2023,0,4,2
1199,2024,0,7,3
1200,2021,0,8,4
1200,2022,0,6,5
1200,2023,0,6,3
1200,2024,0,1,1
1201,2021,0,2,2
1201,2022,0,2,1
1201,2023,0,0,0
1201,2024,0,2,1
1202,2021,0,0,0
1202,2022,0,5,2
1202,2023,0,0,0
1203,2021,0,9,5
1203,2022,1,5,3
1203,2023,0,5,3
1203,2024,0,2,1
1204,2021,0,0,0
1204,2022,0,0,0
1204,2023,0,1,1
1205,2021,0,0,0
1205,2022,0,2,2
1205,2023,0,0,0
1205,2024,0,2,2
1206,2021,0,0,0
1206,2022,0,0,0
1206,2023,0,0,0
1207,2021,0,0,0
1207,2022,0,0,0
1207,2023,0,0,0
1208,2021,0,3,2
1208,2022,0,1,1
1208,2023,0,0,0
1208,2024,0,6,3
1209,2021,0,2,1
1209,2022,0,4,3
1209,2023,0,4,3
1209,2024,0,4,1
1210,2021,0,2,2
1210,2022,0,3,3
1210,2023,0,1,1
1210,2024,0,1,1
1211,2021,0,0,0
1211,2022,0,1,1
1211,2023,0,1,1
1211,2024,0,3,1
1212,2021,0,0,0
1212,2022,0,0,0
1212,2023,0,0,0
1213,2021,0,0,0
1213,2022,0,5,2
1213,2023,0,0,0
1213,2024,0,4,2
1214,2021,0,73,44
1214,2022,0,90,60
1214,2023,0,76,52
1214,2024,1,82,54
1215,2021,1,12,5
1215,2022,0,10,8
1215,2023,0,9,7
1215,2024,0,14,10
1216,2021,0,9,5
1216,2022,0,2,2
1216,2023,0,1,1
1216,2024,0,1,1
1217,2021,0,36,29
1217,2022,0,30,20
1217,2023,1,34,27
1217,2024,1,34,29
1218,2021,0,0,0
1218,2022,0,3,3
1218,2023,0,4,4
1218,2024,0,2,2
1219,2021,6,218,164
1219,2022,1,236,168
1219,2023,0,212,157
1219,2024,3,239,166
1220,2021,0,7,5
1220,2022,0,9,6
1220,2023,1,9,8
1220,2024,0,19,12
1221,2021,0,1,1
1221,2022,0,1,1
1221,2023,0,0,0
1222,2021,0,1,1
1222,2022,0,0,0
1222,2023,0,0,0
1222,2024,0,1,1
1223,2021,1,10,9
1223,2022,0,2,1
1223,2023,0,1,1
1223,2024,0,3,3
1224,2021,0,0,0
1224,2022,0,0,0
1224,2023,0,0,0
1225,2021,0,4,2
1225,2022,1,4,3
1225,2023,0,12,7
1225,2024,0,8,7
1226,2021,0,0,0
1226,2022,0,0,0
1226,2023,0,2,1
1227,2021,0,2,2
1227,2022,0,4,2
1227,2023,0,2,2
1228,2021,0,3,3
1228,2022,0,4,3
1228,2023,0,4,3
1228,2024,0,9,4
1229,2021,0,1,1
1229,2022,0,3,2
1229,2023,0,8,5
1229,2024,0,2,2
1230,2021,0,0,0
1230,2022,0,0,0
1230,2023,0,0,0
1231,2021,0,5,3
1231,2022,0,4,3
1231,2023,0,0,0
1231,2024,0,7,3
1232,2021,2,50,2
1232,2022,0,17,6
1232,2023,0,11,6
1232,2024,0,4,4
1233,2021,0,2,1
1233,2022,0,3,1
1233,2023,0,0,0
1234,2021,0,0,0
1234,2022,0,0,0
1234,2023,0,0,0
1235,2021,1,4,2
1235,2022,1,4,4
1235,2023,0,3,2
1235,2024,0,2,2
1236,2021,0,9,7
1236,2022,1,9,6
1236,2023,1,13,7
1236,2024,1,11,6
1237,2021,0,1,1
1237,2022,0,6,4
1237,2023,0,5,4
1237,2024,0,10,6
1238,2021,0,0,0
1238,2022,0,0,0
1238,2023,0,1,1
1239,2021,0,3,1
1239,2022,0,1,1
1239,2023,0,0,0
1239,2024,0,1,1
1240,2021,0,2,1
1240,2022,0,5,4
1240,2023,0,3,2
1240,2024,0,2,2
1241,2021,0,3,2
1241,2022,0,10,8
1241,2023,0,5,4
1241,2024,0,2,2
1242,2021,1,0,1
1242,2022,0,0,0
1242,2023,0,3,2
1242,2024,0,1,1
1243,2021,0,2,1
1243,2022,0,1,1
1243,2023,0,1,1
1243,2024,0,3,3
1244,2021,0,10,6
1244,2022,0,12,6
1244,2023,0,6,5
1244,2024,1,5,4
1245,2021,0,2,1
1245,2022,1,4,3
1245,2023,0,4,2
1245,2024,0,9,6
1246,2021,0,10,5
1246,2022,0,5,3
1246,2023,0,14,8
1246,2024,1,2,3
1247,2021,0,0,0
1247,2022,0,2,2
1247,2023,0,3,3
1247,2024,0,3,1
1248,2021,0,17,12
1248,2022,0,12,9
1248,2023,1,38,29
1248,2024,0,38,20
1249,2021,0,39,29
1249,2022,0,24,17
1249,2023,0,26,23
1249,2024,0,32,24
1250,2021,0,2,2
1250,2022,0,0,0
1250,2023,0,0,0
1251,2021,0,1,1
1251,2022,0,0,0
1251,2023,0,1,1
1252,2021,0,7,5
1252,2022,0,14,9
1252,2023,0,5,5
1252,2024,1,5,2
1253,2021,0,6,5
1253,2022,0,9,5
1253,2023,0,12,6
1253,2024,0,15,7
1254,2021,0,6,4
1254,2022,0,14,7
1254,2023,1,9,6
1254,2024,0,11,6
1255,2021,0,8,7
1255,2022,0,13,8
1255,2023,0,3,3
1255,2024,0,18,12
1256,2021,0,7,6
1256,2022,0,7,5
1256,2023,2,9,7
1256,2024,0,2,2
